1 1:0.0875398 2:0.0604677 3:0.0256603 4:-0.108419 5:0.0227571 6:-0.0878515 7:-0.099521 8:0.05778 9:-0.144584 10:-0.140819 11:0.0199596 12:0.156444 13:0.0148792 14:0.086008 15:0.0575391
1 1:-0.0361459 2:-0.0708742 3:-0.0695791 4:-0.347113 5:0.000349608 6:-0.153754 7:-0.170626 8:0.20833 9:-0.3263 10:-0.352579 11:0.15038 12:0.379911 13:0.10377 14:0.327805 15:0.076055
1 1:-0.0381367 2:-0.0011342 3:0.00998632 4:-0.398224 5:-0.0593371 6:-0.141475 7:-0.133594 8:0.268105 9:-0.332493 10:-0.371228 11:0.166402 12:0.36401 13:0.0529924 14:0.323826 15:0.0904829
1 1:0.131114 2:0.115055 3:0.00824333 4:-0.297002 5:0.019977 6:-0.187569 7:-0.179405 8:0.158177 9:-0.266238 10:-0.308278 11:0.105958 12:0.346022 13:0.0331622 14:0.221715 15:0.136339
1 1:0.193873 2:0.0501787 3:0.0642585 4:-0.297115 5:0.0100226 6:-0.170898 7:-0.0467737 8:0.116326 9:-0.282786 10:-0.195059 11:-0.00240517 12:0.159872 13:0.0223638 14:0.131035 15:0.0536982
1 1:0.0639602 2:0.0527141 3:0.0531894 4:-0.272281 5:-0.0351419 6:-0.179521 7:-0.202949 8:0.126322 9:-0.37072 10:-0.360431 11:0.107089 12:0.381511 13:0.150774 14:0.33757 15:0.129269
1 1:0.145139 2:0.158767 3:0.0303795 4:-0.270722 5:0.108357 6:-0.179557 7:-0.15973 8:0.19857 9:-0.294058 10:-0.322467 11:0.0547889 12:0.344602 13:0.00156527 14:0.19206 15:0.0580802
1 1:0.128716 2:0.0832096 3:0.0510328 4:-0.190844 5:0.0321981 6:-0.110009 7:-0.146971 8:0.0718976 9:-0.191513 10:-0.269641 11:0.0216781 12:0.197509 13:-0.00319784 14:0.110772 15:0.0613602
1 1:0.0988786 2:0.180471 3:0.072698 4:-0.179664 5:0.117445 6:-0.139653 7:-0.110422 8:0.196804 9:-0.171634 10:-0.281371 11:0.0706952 12:0.320549 13:0.0619094 14:0.161889 15:0.0650175
1 1:0.0722943 2:0.0349536 3:-0.0977898 4:-0.291138 5:-0.0279027 6:-0.112438 7:-0.254389 8:0.109017 9:-0.282222 10:-0.253778 11:0.129081 12:0.372101 13:0.0814648 14:0.142688 15:0.0323923
1 1:0.105928 2:0.0955538 3:-0.0332452 4:-0.211587 5:-0.0128915 6:-0.110802 7:-0.0812345 8:0.117086 9:-0.212845 10:-0.188829 11:0.0437691 12:0.143452 13:-0.0346638 14:0.0794874 15:0.0568631
1 1:0.10125 2:0.105693 3:-0.00898551 4:-0.254318 5:-2.78416e-05 6:-0.164935 7:-0.186481 8:0.103639 9:-0.217637 10:-0.270747 11:0.0173459 12:0.259094 13:0.00514201 14:0.118225 15:0.0332427
1 1:0.0835646 2:0.0942374 3:-0.00624432 4:-0.13081 5:0.0118921 6:-0.12402 7:-0.137497 8:0.0892042 9:-0.109521 10:-0.130849 11:0.00862013 12:0.111497 13:-0.0872537 14:0.00248385 15:0.0441404
1 1:0.134818 2:0.134879 3:-0.0640679 4:-0.175399 5:0.115647 6:-0.0823551 7:-0.083952 8:0.0734082 9:-0.133733 10:-0.207137 11:0.0066843 12:0.276588 13:0.124345 14:0.137804 15:0.0387227
1 1:0.28082 2:0.24003 3:0.130636 4:-0.228922 5:0.202015 6:-0.133465 7:-0.226136 8:0.164055 9:-0.305805 10:-0.363394 11:-0.0194359 12:0.36618 13:0.0582518 14:0.193436 15:0.101895
1 1:0.065463 2:0.122863 3:0.0107496 4:-0.218509 5:0.0254835 6:-0.0881837 7:-0.223804 8:0.112495 9:-0.249729 10:-0.337275 11:0.108956 12:0.298644 13:0.0861704 14:0.221251 15:-0.0531952
1 1:0.0408679 2:0.0443891 3:0.012909 4:-0.177135 5:-0.0241692 6:-0.108666 7:-0.120579 8:0.0168596 9:-0.177714 10:-0.176473 11:0.0141508 12:0.121187 13:-0.0254087 14:0.0524536 15:0.0412711
1 1:0.0181691 2:-0.0423263 3:-0.0375075 4:-0.318035 5:-0.0409644 6:-0.160816 7:-0.118267 8:0.276945 9:-0.207954 10:-0.199173 11:0.142534 12:0.39301 13:0.0160644 14:0.143729 15:0.0809099
1 1:-0.0181836 2:0.0122702 3:-0.0754738 4:-0.125351 5:-0.0541973 6:-0.0686962 7:-0.235441 8:-0.0349863 9:-0.136953 10:-0.210618 11:-0.0018827 12:0.061558 13:-0.0442917 14:0.0245686 15:-0.0021018
1 1:0.152182 2:0.0878723 3:0.0138748 4:-0.210779 5:-0.0397018 6:-0.135879 7:-0.170133 8:0.144301 9:-0.273182 10:-0.317859 11:0.147154 12:0.285676 13:0.079653 14:0.193349 15:0.0810083
1 1:-0.0131149 2:0.0449079 3:-0.0154165 4:-0.256224 5:-0.0324277 6:-0.0874584 7:-0.184269 8:0.171369 9:-0.15792 10:-0.266112 11:0.193092 12:0.322313 13:-0.0577313 14:0.232331 15:0.158943
